category,group,name,http_method
mcp_tool,palantir-mcp,palantir-mcp_build_datasets,
mcp_tool,palantir-mcp,palantir-mcp_get_build_status,
mcp_tool,palantir-mcp,palantir-mcp_search_dataset_builds,
mcp_tool,palantir-mcp,palantir-mcp_get_job_status,
mcp_tool,palantir-mcp,palantir-mcp_get_foundry_ontology_rid,
mcp_tool,palantir-mcp,palantir-mcp_search_foundry_ontology,
mcp_tool,palantir-mcp,palantir-mcp_search_foundry_functions,
mcp_tool,palantir-mcp,palantir-mcp_view_foundry_object_type,
mcp_tool,palantir-mcp,palantir-mcp_view_foundry_action_type,
mcp_tool,palantir-mcp,palantir-mcp_get_ontology_sdk_context,
mcp_tool,palantir-mcp,palantir-mcp_get_ontology_sdk_examples,
mcp_tool,palantir-mcp,palantir-mcp_list_platform_sdk_apis,
mcp_tool,palantir-mcp,palantir-mcp_get_platform_sdk_api_reference,
mcp_tool,palantir-mcp,palantir-mcp_list_resources_in_foundry_folder,
mcp_tool,palantir-mcp,palantir-mcp_get_project_imports,
mcp_tool,palantir-mcp,palantir-mcp_create_and_write_to_foundry_dataset,
mcp_tool,palantir-mcp,palantir-mcp_get_foundry_dataset_schema,
mcp_tool,palantir-mcp,palantir-mcp_create_foundry_rest_api_data_source,
mcp_tool,palantir-mcp,palantir-mcp_get_or_create_network_egress_policy,
mcp_tool,palantir-mcp,palantir-mcp_get_resource_graph,
mcp_tool,palantir-mcp,palantir-mcp_query_ontology_objects,
mcp_tool,palantir-mcp,palantir-mcp_aggregate_ontology_objects,
mcp_tool,palantir-mcp,palantir-mcp_get_repository_context,
mcp_tool,palantir-mcp,palantir-mcp_create_foundry_branch,
mcp_tool,palantir-mcp,palantir-mcp_create_foundry_proposal,
mcp_tool,palantir-mcp,palantir-mcp_generate_new_ontology_sdk_version,
mcp_tool,palantir-mcp,palantir-mcp_get_python_transforms_documentation,
mcp_tool,palantir-mcp,palantir-mcp_get_ml_documentation,
mcp_tool,palantir-mcp,palantir-mcp_get_typescript_v1_functions_documentation,
mcp_tool,palantir-mcp,palantir-mcp_get_typescript_v2_functions_documentation,
mcp_tool,palantir-mcp,palantir-mcp_get_custom_widget_documentation,
mcp_tool,palantir-mcp,palantir-mcp_get_compute_modules_documentation,
mcp_tool,palantir-mcp,palantir-mcp_search_foundry_documentation,
mcp_tool,palantir-mcp,palantir-mcp_clone_code_repository_locally,
mcp_tool,palantir-mcp,palantir-mcp_close_foundry_branch,
mcp_tool,palantir-mcp,palantir-mcp_close_foundry_proposal,
mcp_tool,palantir-mcp,palantir-mcp_connect_to_dev_console_app,
mcp_tool,palantir-mcp,palantir-mcp_convert_to_osdk_react,
mcp_tool,palantir-mcp,palantir-mcp_create_code_repository_pull_request,
mcp_tool,palantir-mcp,palantir-mcp_create_foundry_rest_api_data_source_webhook,
mcp_tool,palantir-mcp,palantir-mcp_create_or_update_foundry_link_type,
mcp_tool,palantir-mcp,palantir-mcp_create_or_update_foundry_object_type,
mcp_tool,palantir-mcp,palantir-mcp_create_python_transforms_code_repository,
mcp_tool,palantir-mcp,palantir-mcp_delete_foundry_link_type,
mcp_tool,palantir-mcp,palantir-mcp_delete_foundry_object_type,
mcp_tool,palantir-mcp,palantir-mcp_install_sdk_package,
mcp_tool,palantir-mcp,palantir-mcp_run_sql_query_on_foundry_dataset,
mcp_tool,palantir-mcp,palantir-mcp_view_foundry_branch,
mcp_tool,palantir-mcp,palantir-mcp_view_foundry_link_type,
mcp_tool,palantir-mcp,palantir-mcp_view_foundry_proposal,
mcp_tool,palantir-mcp,palantir-mcp_view_osdk_definition,
platform_api,aipAgents,aipAgentsListSessionsForAgents,get
platform_api,aipAgents,aipAgentsGetAgent,get
platform_api,aipAgents,aipAgentsListAgentVersions,get
platform_api,aipAgents,aipAgentsGetAgentVersion,get
platform_api,aipAgents,aipAgentsListSessions,get
platform_api,aipAgents,aipAgentsCreateSession,post
platform_api,aipAgents,aipAgentsGetSession,get
platform_api,aipAgents,aipAgentsDeleteSession,delete
platform_api,aipAgents,aipAgentsBlockingContinueSession,post
platform_api,aipAgents,aipAgentsCancelSession,post
platform_api,aipAgents,aipAgentsGetContent,get
platform_api,aipAgents,aipAgentsGetRagContextForSession,put
platform_api,aipAgents,aipAgentsGetSessionTrace,get
platform_api,aipAgents,aipAgentsStreamingContinueSession,post
platform_api,aipAgents,aipAgentsUpdateSessionTitle,put
platform_api,admin,adminListAuthenticationProviders,get
platform_api,admin,adminGetAuthenticationProvider,get
platform_api,admin,adminPreregisterGroup,post
platform_api,admin,adminPreregisterUser,post
platform_api,admin,adminListGroups,get
platform_api,admin,adminCreateGroup,post
platform_api,admin,adminGetGroupsBatch,post
platform_api,admin,adminSearchGroups,post
platform_api,admin,adminGetGroup,get
platform_api,admin,adminDeleteGroup,delete
platform_api,admin,adminListGroupMembers,get
platform_api,admin,adminAddGroupMembers,post
platform_api,admin,adminRemoveGroupMembers,post
platform_api,admin,adminGetGroupMembershipExpirationPolicy,get
platform_api,admin,adminReplaceGroupMembershipExpirationPolicy,put
